GK1_b,PCa_b,ADP90
0.5614583247505129,8.103114423599839e-05,416.0
0.3152498892351985,4.7325830220028764e-05,415.0
0.6087604987472296,6.478610446934402e-05,400.0
0.46283333089128137,2.86219893142283e-05,374.0
0.35054201886951925,1.5725518123030665e-05,369.0
0.5214664441861212,5.202234268446267e-05,396.0
0.40254701398834586,3.4448418470814824e-05,388.0
0.6737526103004814,6.82821689106226e-05,399.0
0.43206516752019525,5.523968074728549e-05,407.0
0.6911856001466513,2.1266540878236296e-05,346.0
0.38281410119980575,7.368719055575133e-05,429.0
0.5424330622278154,3.780212480832637e-05,379.0
0.6297263568624855,4.178464057181776e-05,377.0
0.4951046503208578,7.78136392801702e-05,419.0
0.5788920774973929,2.5268449869722132e-05,360.0
0.3447688026934862,5.938124971722066e-05,422.0
0.6827326420612634,3.201268083673716e-05,361.0
0.44207496355175974,7.008578311909736e-05,419.0
0.5321217813685537,1.768167045225203e-05,353.0
0.3915625241868198,4.94678460739255e-05,406.0
0.4788583172097802,6.296559886333347e-05,409.0
0.6444177793554962,3.104083920155466e-05,363.0
0.3297819405801594,8.360252807174623e-05,443.0
0.595439917743206,4.5386569809883836e-05,383.0
0.31000997894927856,2.3448818756982687e-05,386.0
0.5620234322980047,6.17988256111443e-05,401.0
0.46179004297852516,4.435729970481992e-05,393.0
0.6144846569128335,7.587350515906513e-05,408.0
0.5021894188523293,7.1252322721079e-05,414.0
0.37449501285627484,3.9604467631101616e-05,398.0
0.6493153937153519,5.719710263681413e-05,391.0
0.42230224199444055,1.8711174207523465e-05,365.0
0.37875082286596295,4.5781959940463315e-05,404.0
0.5447047463186085,8.207931829874218e-05,418.0
0.4296960343889892,2.948787031953037e-05,379.0
0.6949565075650812,6.332215507772566e-05,393.0
0.5826500393979251,4.989739972424508e-05,389.0
0.34238672701865436,1.6192620026662947e-05,371.0
0.6320109834969044,6.863537051041424e-05,402.0
0.49105431750491263,3.2471789152145386e-05,377.0
0.6019074025645852,1.940954190005362e-05,350.0
0.4745952722840011,5.543907440525294e-05,403.0
0.5497938561923802,3.7876160957634456e-05,378.0
0.32239538012742996,7.19894951235205e-05,436.0
0.4097039275713265,7.653767699633539e-05,428.0
0.6620995614588261,4.256507144567371e-05,375.0
0.3622925405457616,5.996799708601833e-05,420.0
0.5146019253127277,2.4083465135440235e-05,363.0
0.45025957131236793,6.676346211951972e-05,415.0
0.6215692228220404,3.483923677612842e-05,369.0
0.3030228620804846,5.238346863795817e-05,422.0
0.5738462748795747,1.416804417294264e-05,344.0
0.6611511818148197,2.713744812902808e-05,356.0
0.41532806766927244,6.521108420823515e-05,418.0
0.5092610422179102,4.7789514533028014e-05,392.0
0.36295159567222,7.957622447308899e-05,436.0
0.529618627551198,5.761871224527062e-05,400.0
0.3953943327941001,2.5971391473680735e-05,378.0
0.678803360619396,7.854623568502068e-05,406.0
0.44428572265952826,4.00608410525769e-05,390.0
0.3319812769971788,3.6005393567278985e-05,399.0
0.5914992165848614,7.435593421828748e-05,409.0
0.4827015455335379,2.1896617517590524e-05,363.0
0.6419260482288898,5.3413357290223244e-05,388.0
0.497612764479965,2.675562561747432e-05,368.0
0.6256498140200972,5.840668479238451e-05,394.0
0.3484524918228388,4.0845141953572635e-05,403.0
0.5767828845657408,7.933427498933673e-05,414.0
0.6890368850916624,7.46616532586217e-05,402.0
0.4358067002870143,3.631485101093352e-05,387.0
0.5382925368510187,5.371914308775962e-05,396.0
0.38535578893870115,2.220614171844721e-05,374.0
0.5208587826170028,3.5148226397827267e-05,377.0
0.3558368829160929,6.706978145313264e-05,427.0
0.6680710314378142,1.4476967037439348e-05,337.0
0.40353537044748666,5.2689721214368944e-05,408.0
0.3161804020568728,6.599858997647464e-05,432.0
0.5558162680111826,2.7922283609181646e-05,365.0
0.4680946213580668,8.036366348412634e-05,424.0
0.6082168197125197,4.857428325597942e-05,385.0
0.36921237901523707,5.622224043381215e-05,416.0
0.5028092154502869,2.0198582562401892e-05,359.0
0.4213016553297639,7.277272790928186e-05,423.0
0.6549848375491798,3.866526837718487e-05,371.0
0.5676288935974241,4.286972237077356e-05,382.0
0.3090429658643901,7.684820255522431e-05,442.0
0.6150649313874543,2.438818281774223e-05,356.0
0.45656525277495386,6.027858940210939e-05,409.0
0.6484821871690453,8.238937603567542e-05,411.0
0.4763379728451371,4.608721115884186e-05,394.0
0.5975612457036972,6.363214605745674e-05,400.0
0.3261104816563427,2.9793054780706766e-05,392.0
0.4383699310481548,1.698119391013682e-05,360.0
0.6849179525561631,5.0681167089164267e-05,382.0
0.3889843361847103,3.3260296278417114e-05,388.0
0.5362257113054395,6.941907111813129e-05,410.0
0.6673457783162594,6.0943093982309107e-05,393.0
0.4091450797505677,2.259575741623342e-05,372.0
0.5155414442293347,7.501757325862349e-05,416.0
0.3566595850780606,4.350403809246421e-05,404.0
0.46890437800213697,3.936397089880705e-05,387.0
0.6028865387812257,7.101449627687038e-05,406.0
0.3218030539035797,1.847047720362246e-05,377.0
0.5551039604075253,5.6959075920999056e-05,397.0
0.3382613466337323,6.984828993935883e-05,432.0
0.5852067769519985,3.1771449253678324e-05,368.0
0.48889647738412023,4.923055316579342e-05,396.0
0.6357434863746166,1.744063914079964e-05,344.0
0.5483976318962872,3.018811216835678e-05,369.0
0.3766509215593338,6.210913342681528e-05,420.0
0.6974493577614427,4.4534043048292406e-05,375.0
0.4256041324071586,8.274626290683448e-05,430.0
0.5889302488252521,2.040974113416672e-05,352.0
0.3360945223532617,5.43876875217706e-05,419.0
0.6382057755567134,3.694512479265034e-05,370.0
0.4848715206831694,7.283499705863e-05,417.0
0.3975308295406401,7.757207443264127e-05,430.0
0.5259622422367335,4.154788224284351e-05,384.0
0.44834102920144797,5.913948459808528e-05,409.0
0.6762740101598204,2.5031491269141437e-05,353.0
0.41589905051887033,4.708940515552462e-05,401.0
0.6559171951629221,8.078884453770519e-05,409.0
0.3685724161110818,2.8385764521330595e-05,385.0
0.5083092930957676,6.454400504265726e-05,408.0
0.6205535863421858,5.1170683766499163e-05,387.0
0.45591387015432117,1.4867984571278095e-05,355.0
0.5685726709276437,6.743071026426554e-05,405.0
0.30365178374424573,3.3591085190668705e-05,401.0
0.6169249747775496,7.362626906742156e-05,407.0
0.4579943375691772,3.7324633815109734e-05,386.0
0.5660109901338817,5.488617874008418e-05,395.0
0.30776160868778824,2.1047617609396578e-05,383.0
0.42006731395423413,2.5726647770747544e-05,375.0
0.6533195375777782,5.9427151095837365e-05,393.0
0.3706888603173196,4.2022856932848694e-05,401.0
0.50462224303931,7.81821613970846e-05,419.0
0.38756135608330367,6.496023078706862e-05,421.0
0.5343595870167017,2.8934974654361607e-05,368.0
0.43964521030038595,8.152779115621746e-05,428.0
0.6865419577382506,4.741873388436437e-05,379.0
0.5992326503679157,3.4116273552894593e-05,370.0
0.32733874213322994,6.809315599758924e-05,432.0
0.6466630816556513,1.5651774036481977e-05,341.0
0.47486759326159955,5.1540582359552384e-05,399.0
0.5399896273262799,4.3894761412188416e-05,386.0
0.3866066895723343,7.581471872773767e-05,430.0
0.6871951156273485,2.3240575467020276e-05,349.0
0.4343106110982597,6.145173138265312e-05,413.0
0.347006467063725,5.7236596497491e-05,420.0
0.5748906699649989,1.9158691868901253e-05,351.0
0.49891411025002597,7.161870952022077e-05,415.0
0.6272968400657177,3.982773155231774e-05,375.0
0.46683761603161694,1.800106331032515e-05,359.0
0.606525810135901,4.965265263129771e-05,387.0
0.31768256916999815,3.2107719818845395e-05,397.0
0.5576519357569516,7.059738247913123e-05,409.0
0.6699571413457395,8.339856245812774e-05,410.0
0.404987476105243,4.5052289834961304e-05,400.0
0.5192178344957531,6.247315855954587e-05,405.0
0.3545294354274869,3.0960687336295845e-05,390.0
0.44671683217883107,3.834290404130519e-05,388.0
0.6749985420413316,7.204394116324187e-05,401.0
0.39939714269563553,1.9622123234689237e-05,369.0
0.5273854141786695,5.5781962017312654e-05,399.0
0.6396759632997215,5.9932710102543235e-05,394.0
0.4866904373303056,2.363160916861892e-05,365.0
0.5877021772146225,7.61756303280294e-05,411.0
0.3344233095295727,4.233760299418867e-05,406.0
0.5698542199447751,2.916427058425546e-05,366.0
0.3052698760740459,6.314168682579697e-05,431.0
0.6191243126817048,4.56825808275193e-05,382.0
0.45405363492369655,8.157192346897721e-05,426.0
0.36675958036258816,6.883513133299351e-05,427.0
0.5068330006599426,3.281040951867402e-05,376.0
0.4175641616240144,5.038550198335946e-05,404.0
0.6571513446979225,1.6276978508353234e-05,341.0
0.319967197291553,7.861136405055225e-05,441.0
0.5536016014538705,4.053399374035001e-05,381.0
0.4705955794192851,5.7976554383307695e-05,406.0
0.6041437329739332,2.6186110212251546e-05,359.0
0.5168487028516829,2.144262440760434e-05,359.0
0.35830034135878086,5.3363115520000464e-05,414.0
0.6658938644990325,3.5771515250921255e-05,367.0
0.4072591587089002,7.39832054849416e-05,426.0
0.698945635816455,5.2205137529194365e-05,383.0
0.42744609371200204,1.3859399224415422e-05,357.0
0.5471465394221247,6.626247715462745e-05,406.0
0.3749536422178149,3.4750539728224276e-05,392.0
0.4872496402047575,4.811745257374645e-05,395.0
0.6344423324450851,7.976957569156587e-05,410.0
0.34015336939394475,2.7206852084741e-05,387.0
0.5866526128448546,6.569704906341435e-05,403.0
0.3283604699216783,1.4710857870772481e-05,371.0
0.5935722602173686,5.3062470809340476e-05,391.0
0.4801351059049368,3.5602198646187785e-05,381.0
0.6460402513004839,6.712001070638002e-05,399.0
0.5337946954756976,8.000580048446358e-05,418.0
0.39278925142660737,4.835955200043321e-05,405.0
0.6809150459907949,6.593347412791849e-05,396.0
0.4406030507311225,2.7449151783034208e-05,375.0
