GKr_b,PCa_b,ADP90
0.0104617650330998,8.103114423599839e-05,427.0
0.00571033133007586,4.7325830220028764e-05,467.0
0.0076995095186866815,6.478610446934402e-05,453.0
0.0029476142268627884,2.86219893142283e-05,489.0
0.009424025611858814,1.5725518123030665e-05,365.0
0.004066192603670061,5.202234268446267e-05,507.0
0.011868802546989172,3.4448418470814824e-05,366.0
0.006510199421457946,6.82821689106226e-05,478.0
0.007226850846316665,5.523968074728549e-05,451.0
0.002474858330376446,2.1266540878236296e-05,482.0
0.009671786711271852,7.368719055575133e-05,432.0
0.004920565215684474,3.780212480832637e-05,468.0
0.011396952633280307,4.178464057181776e-05,380.0
0.0060384840562939645,7.78136392801702e-05,498.0
0.008633314910996705,2.5268449869722132e-05,391.0
0.003275309427827597,5.938124971722066e-05,539.0
0.00861677093328908,3.201268083673716e-05,401.0
0.00388463997989893,7.008578311909736e-05,540.0
0.010905597827304154,1.768167045225203e-05,353.0
0.006173929967731237,4.94678460739255e-05,462.0
0.010123026034142822,6.296559886333347e-05,416.0
0.004744657366164029,3.104083920155466e-05,459.0
0.007520426515396684,8.360252807174623e-05,474.0
0.0021428288677707314,4.5386569809883836e-05,543.0
0.011693783711176365,2.3448818756982687e-05,353.0
0.0069622497981414195,6.17988256111443e-05,463.0
0.009091025262605398,4.435729970481992e-05,411.0
0.004358721232227981,7.587350515906513e-05,536.0
0.008307802963349969,7.1252322721079e-05,450.0
0.0029301086936146022,3.9604467631101616e-05,512.0
0.010598012065235526,5.719710263681413e-05,405.0
0.005219856206700206,1.8711174207523465e-05,427.0
0.007904307924490421,4.5781959940463315e-05,429.0
0.0031771084612235425,8.207931829874218e-05,585.0
0.010350629609357566,2.948787031953037e-05,376.0
0.005623892938904465,6.332215507772566e-05,490.0
0.012097989118192345,4.989739972424508e-05,381.0
0.00671468896009028,1.6192620026662947e-05,400.0
0.009337894808594137,6.863537051041424e-05,432.0
0.003955365971848368,3.2471789152145386e-05,477.0
0.009876623306889086,1.940954190005362e-05,367.0
0.005150021184980869,5.543907440525294e-05,489.0
0.007115753612387925,3.7876160957634456e-05,431.0
0.002388381674140692,7.19894951235205e-05,591.0
0.008862463292386383,7.653767699633539e-05,446.0
0.003479837231524289,4.256507144567371e-05,505.0
0.011310783640202134,5.996799708601833e-05,399.0
0.005927695689536631,2.4083465135440235e-05,427.0
0.011011493721511214,6.676346211951972e-05,409.0
0.006264991508610546,3.483923677612842e-05,440.0
0.00840734945302829,5.238346863795817e-05,430.0
0.0036603853503242136,1.416804417294264e-05,442.0
0.007611796848196536,2.713744812902808e-05,408.0
0.00224903234988451,6.521108420823515e-05,581.0
0.009898462537396699,4.7789514533028014e-05,404.0
0.0045349282227456576,7.957622447308899e-05,537.0
0.009196882289741188,5.761871224527062e-05,424.0
0.004449821564927697,2.5971391473680735e-05,455.0
0.011484323363844305,7.854623568502068e-05,412.0
