GKr_b,PCa_b,ADP90
0.011243228484503924,2.5726647770747544e-05,361.0
0.005875358835887164,5.9427151095837365e-05,480.0
0.008796905144117772,4.2022856932848694e-05,412.0
0.003428573605697602,7.81821613970846e-05,568.0
0.01029000227395445,6.496023078706862e-05,416.0
0.0055676959416829045,2.8934974654361607e-05,441.0
0.00784168027061969,8.152779115621746e-05,467.0
0.003119836731161922,4.741873388436437e-05,522.0
0.009270910430699587,3.4116273552894593e-05,396.0
0.0039024437417276205,6.809315599758924e-05,537.0
0.012031778168678283,1.5651774036481977e-05,338.0
0.006664082801062614,5.1540582359552384e-05,456.0
0.011540669734030961,4.3894761412188416e-05,381.0
0.006798502140212804,7.581471872773767e-05,480.0
0.009254004496335982,2.3240575467020276e-05,380.0
0.004512608223874122,6.145173138265312e-05,511.0
0.008136041408218444,5.7236596497491e-05,439.0
0.0027874745092354714,1.9158691868901253e-05,470.0
0.010740186429210007,7.161870952022077e-05,416.0
0.005392082323040813,3.982773155231774e-05,462.0
0.008463043172471225,1.800106331032515e-05,381.0
0.0037215111474506557,4.965265263129771e-05,511.0
0.011069186856411397,3.2107719818845395e-05,372.0
0.006327192941587418,7.059738247913123e-05,484.0
0.009950650319084525,8.339856245812774e-05,435.0
0.004602642233017832,4.5052289834961304e-05,485.0
0.007663209696486592,6.247315855954587e-05,452.0
0.002314431794080883,3.0960687336295845e-05,508.0
0.009723509593121706,3.834290404130519e-05,396.0
0.004986273489426821,7.204394116324187e-05,515.0
0.00727873341049999,1.9622123234689237e-05,399.0
0.0025422683271579443,5.5781962017312654e-05,552.0
0.008690701624378561,5.9932710102543235e-05,433.0
0.003337203235272318,2.363160916861892e-05,471.0
0.011452957590296865,7.61756303280294e-05,411.0
0.006099922295007855,4.233760299418867e-05,453.0
0.0077505799002945425,2.916427058425546e-05,409.0
0.003013979666400701,6.314168682579697e-05,553.0
0.010514218074083329,4.56825808275193e-05,394.0
0.005777156251389533,8.157192346897721e-05,508.0
0.011925613516010344,6.883513133299351e-05,399.0
0.006572673638816922,3.281040951867402e-05,432.0
0.009480678403563796,5.038550198335946e-05,413.0
0.004126968409027904,1.6276978508353234e-05,439.0
0.00902451029960066,7.861136405055225e-05,445.0
0.004307809855695814,4.053399374035001e-05,484.0
0.01162710816282779,5.7976554383307695e-05,394.0
0.006909637601580471,2.6186110212251546e-05,416.0
0.010535696852952242,2.144262440760434e-05,363.0
0.005162895714212209,5.3363115520000464e-05,486.0
0.008246868002414703,3.5771515250921255e-05,412.0
0.002873605274874717,7.39832054849416e-05,578.0
0.01083973084948957,5.2205137529194365e-05,397.0
0.0061223563083447514,1.3859399224415422e-05,403.0
0.008549519791081548,6.626247715462745e-05,441.0
0.0038326083437539636,3.4750539728224276e-05,483.0
0.0074586819304153324,4.811745257374645e-05,439.0
0.002085283450316638,7.976957569156587e-05,622.0
0.01006143872346729,2.7206852084741e-05,377.0
0.004688811263721436,6.569704906341435e-05,513.0
0.011386065432336182,1.4710857870772481e-05,343.0
0.006007850878126919,5.3062470809340476e-05,469.0
0.008782387117203326,3.5602198646187785e-05,404.0
0.003404635355807841,6.712001070638002e-05,549.0
0.007353731535095722,8.000580048446358e-05,474.0
0.0026214464679360392,4.835955200043321e-05,536.0
0.009643637225497513,6.593347412791849e-05,425.0
0.004912123479694128,2.7449151783034208e-05,450.0
