ko,GK1_b,ADP90
3.583824949339032,0.5614583247505129,446.0
4.985045807436109,0.3152498892351985,446.0
4.034255897626281,0.6087604987472296,432.0
3.381264066323638,0.46283333089128137,461.0
3.0117134731262922,0.35054201886951925,490.0
4.42043855600059,0.5214664441861212,431.0
4.6222966108471155,0.40254701398834586,439.0
3.961192110553384,0.6737526103004814,429.0
3.8417579475790262,0.43206516752019525,452.0
4.7427221480757,0.6911856001466513,413.0
4.292175365611911,0.38281410119980575,448.0
3.1389538180083036,0.5424330622278154,460.0
3.2537742163985968,0.6297263568624855,449.0
4.162737121805549,0.4951046503208578,438.0
4.8643519300967455,0.5788920774973929,419.0
3.703495981171727,0.3447688026934862,467.0
3.651063384488225,0.6827326420612634,435.0
4.812292816117406,0.44207496355175974,431.0
4.230917265638709,0.5321217813685537,434.0
3.3213367369025946,0.3915625241868198,472.0
3.1919897329062223,0.4788583172097802,465.0
4.34558524005115,0.6444177793554962,423.0
4.674183780327439,0.3297819405801594,447.0
3.772601479664445,0.595439917743206,438.0
3.893141308799386,0.31000997894927856,467.0
4.554604748263955,0.5620234322980047,425.0
4.47298595122993,0.46179004297852516,435.0
3.0636577885597944,0.6144846569128335,456.0
3.4499322529882193,0.5021894188523293,454.0
4.103282546624541,0.37449501285627484,453.0
4.932124214246869,0.6493153937153519,413.0
3.5303007531911135,0.42230224199444055,461.0
3.5398952960968018,0.37875082286596295,466.0
4.888319909572601,0.5447047463186085,421.0
4.0919175036251545,0.4296960343889892,446.0
3.4955080039799213,0.6949565075650812,438.0
3.116161238402128,0.5826500393979251,457.0
4.456585239619017,0.34238672701865436,450.0
4.500210635364056,0.6320109834969044,421.0
3.911433629691601,0.49105431750491263,444.0
3.782202459871769,0.6019074025645852,438.0
4.630372084677219,0.4745952722840011,431.0
4.334214713424444,0.5497938561923802,430.0
3.2375700138509274,0.32239538012742996,486.0
3.373844239860773,0.4097039275713265,467.0
4.214511547237635,0.6620995614588261,424.0
4.7578917890787125,0.3622925405457616,442.0
3.6693616658449173,0.5146019253127277,448.0
3.7263039499521255,0.45025957131236793,453.0
4.815207794308662,0.6215692228220404,416.0
4.142066810280085,0.3030228620804846,462.0
3.3007816411554813,0.5738462748795747,452.0
3.1812308095395565,0.6611511818148197,449.0
4.278249707072973,0.41532806766927244,444.0
4.702458836138248,0.5092610422179102,427.0
3.853670872747898,0.36295159567222,460.0
3.9840079471468925,0.529618627551198,439.0
4.573143653571606,0.3953943327941001,441.0
4.399757515639067,0.678803360619396,420.0
3.05873067304492,0.44428572265952826,474.0
3.423551309853792,0.3319812769971788,477.0
4.020319033414125,0.5914992165848614,433.0
4.944773197174072,0.4827015455335379,425.0
3.5957462191581726,0.6419260482288898,439.0
3.61268712207675,0.497612764479965,451.0
4.959097575396299,0.6256498140200972,414.0
4.005499117076397,0.3484524918228388,459.0
3.407075457274914,0.5767828845657408,449.0
3.0442386865615845,0.6890368850916624,451.0
4.383014738559723,0.4358067002870143,440.0
4.5893903858959675,0.5382925368510187,426.0
3.9989654310047626,0.38535578893870115,454.0
3.8703908659517765,0.5208587826170028,442.0
4.717034611850977,0.3558368829160929,443.0
4.263192906975746,0.6680710314378142,423.0
3.1650223284959793,0.40353537044748666,475.0
3.2865565791726112,0.3161804020568728,485.0
4.125087656080723,0.5558162680111826,434.0
4.831706430763006,0.4680946213580668,429.0
3.741040077060461,0.6082168197125197,438.0
3.683602001518011,0.36921237901523707,464.0
4.774886216968298,0.5028092154502869,426.0
4.198028184473515,0.4213016553297639,445.0
3.3591233864426613,0.6549848375491798,444.0
3.2208652645349503,0.5676288935974241,455.0
4.319654181599617,0.3090429658643901,457.0
4.645444128662348,0.6150649313874543,420.0
3.7984261848032475,0.45656525277495386,450.0
3.9259103424847126,0.6484821871690453,431.0
4.516938138753176,0.4763379728451371,433.0
4.440323233604431,0.5975612457036972,425.0
3.1011884808540344,0.3261104816563427,490.0
3.478551857173443,0.4383699310481548,461.0
4.077577881515026,0.6849179525561631,426.0
4.9031245820224285,0.3889843361847103,436.0
3.556355904787779,0.5362257113054395,448.0
3.514069167897105,0.6673457783162594,439.0
4.917060045525432,0.4091450797505677,433.0
4.117850938811898,0.5155414442293347,437.0
3.4666291270405054,0.3566595850780606,472.0
3.0783712435513735,0.46890437800213697,470.0
4.489476697519422,0.6028865387812257,423.0
4.537617718800902,0.3218030539035797,451.0
3.8788935896009207,0.5551039604075253,439.0
3.7561487462371588,0.3382613466337323,466.0
4.659371247515082,0.5852067769519985,422.0
4.359916986897588,0.48889647738412023,435.0
3.2089537400752306,0.6357434863746166,450.0
3.33631687797606,0.5483976318962872,453.0
4.247171873226762,0.3766509215593338,449.0
4.795557929202914,0.6974493577614427,412.0
3.636594070121646,0.4256041324071586,458.0
3.6885311137884855,0.5889302488252521,441.0
